organization,website_address
경기도 화성시,http://www.hscity.go.kr/administration/notice/city_konggo/index.html
강원도청,http://www.provin.gangwon.kr/gw/portal/sub05_06
강원도 강릉시,"http://www.gn.go.kr/www/selectEminwonList.do?key=263&ofr_pageSize=10&not_ancmt_se_code=01,04,06"
강원도 동해시,http://www.dh.go.kr/pages/sub.htm?nav_code=dh1470757772
강원도 삼척시,http://www.samcheok.go.kr/media/00084/00095.web
강원도 속초시,http://www.sokcho.go.kr/portal/openinfo/sokchonews/notification
강원도 원주시,http://www.wonju.go.kr/www/selectBbsNttList.do?bbsNo=140&key=216
강원도 춘천시,http://www.chuncheon.go.kr/index.chuncheon?menuCd=DOM_000000505003001000&cpath=
강원도 태백시,http://www.taebaek.go.kr/www/selectBbsNttList.do?bbsNo=25&key=352
강원도 고성군,http://www.gwgs.go.kr/gs/portal/sub09_02
강원도 양구군,http://www.yanggu.go.kr/twb_bbs/user_bbs_list.php?boardcode=01_03_01_04_00
강원도 양양군,https://www.yangyang.go.kr/gw/portal/sub01_04_03
강원도 영월군,https://www.yw.go.kr/www/selectBbsNttList.do?bbsNo=17&key=273
강원도 인제군,http://www.inje.go.kr/portal/multiboard/board/list.htm?menu=MN20361&groupno=115
강원도 정선군,http://www.jeongseon.go.kr/portal/openadmin/adminnews/notification
강원도 철원군,http://www.cwg.go.kr/site/www/boardList.do?boardSeq=23&key=1240&part=4300030
강원도 평창군,http://www.happy700.or.kr/board/list.happy?boardId=BBS_0000007&menuCd=DOM_000000104002000000&startPage=1
강원도 홍천군,https://www.hongcheon.gangwon.kr/www/contents.do?key=72
강원도 화천군,http://www.ihc.go.kr/www/contents.do?key=1004
강원도 횡성군,http://www.hsg.go.kr/intro/media/00000074.web
충청북도청,http://www.chungbuk.go.kr/www/contents.do?key=1553
충청북도 괴산군,"http://www.goesan.go.kr/www/iframe.do?key=1438&url=http://eminwon.goesan.go.kr/emwp/jsp/ofr/OfrNotAncmtLSub.jsp?not_ancmt_se_code=01,02,03,04"
충청북도 단양군,https://www.danyang.go.kr/dy21/%EC%97%B4%EB%A6%B0%EB%A7%88%EB%8B%B9/%EC%95%8C%EB%A6%BC%EB%A7%88%EB%8B%B9/%EA%B3%A0%EC%8B%9C%EA%B3%B5%EA%B3%A0
충청북도 강원도 ,http://www.boeun.go.kr/www/selectBbsNttList.do?bbsNo=66&key=802
